,open,high,low,close,adjclose,volume,ticker,future
1997-12-10,0.0008960652901306172,0.0008947509037315045,0.0008846483757107855,0.0008823046420017234,0.0008823046420017234,0.009221702201421392,AMZN,0.0009678793902062691
1997-12-11,0.0008431827510636414,0.000953423138169631,0.0008846483757107855,0.0009324691682015299,0.0009324691682015299,0.043600855145316926,AMZN,0.0009501742792038995
1997-12-12,0.0009136928031529424,0.0009446223097184113,0.0008876370068980995,0.0008911571975029081,0.0008911571975029081,0.021043508407002948,AMZN,0.0009560760278977818
1997-12-15,0.0008960652901306172,0.0009064852969031358,0.0008876370068980995,0.0009029606948906726,0.0009029606948906726,0.011625353903045012,AMZN,0.0010091913609048906
1997-12-16,0.0009136928031529424,0.0009006181674623126,0.0009025804364562016,0.0008675504728859333,0.0008675504728859333,0.011556017796267408,AMZN,0.000997387863517126
1997-12-17,0.0008373068685604492,0.0008478131967549942,0.0008443012390335992,0.0008483698909402738,0.0008483698909402738,0.054440399838215754,AMZN,0.0010770608630277898
1997-12-18,0.0008314309860572571,0.0008390123683037745,0.000836829455849165,0.0008203367534934295,0.0008203367534934295,0.02616282429074941,AMZN,0.0010637820297760125
1997-12-19,0.0007961759600126064,0.0008654148536574337,0.0008188973951037489,0.0008793538351944207,0.0008793538351944207,0.04108164326573063,AMZN,0.0010386998342157478
1997-12-22,0.0008725618946050996,0.0009387550459876032,0.0008951086532717674,0.0009354199750088323,0.0009354199750088323,0.03722193332177732,AMZN,0.0010032896122110085
1997-12-23,0.0009254444336720756,0.0009270206528159718,0.0009503992195070561,0.00091476405719916,0.00091476405719916,0.006644710232853759,AMZN,0.0009944370567098238
1997-12-24,0.0009078169206497501,0.0009182198243647521,0.0009055690676435156,0.0009088623085052779,0.0009088623085052779,0.017807823424048075,AMZN,0.0009796827525147566
1997-12-26,0.0008901894076274249,0.0009006181674623126,0.0009115464668289097,0.000885255583888303,0.000885255583888303,0.0,AMZN,0.0011065694714179238
1997-12-29,0.0008960652901306172,0.0009387550459876032,0.0009235011283889317,0.0009501742792038995,0.0009501742792038995,0.019887906627376207,AMZN,0.0011036185295313443
1997-12-30,0.0009665753422199181,0.0009739583597924821,0.0009952293713705964,0.0009782074166507439,0.0009782074166507439,0.05583867799156411,AMZN,0.0010947659740301596
1997-12-31,0.0009783269727390513,0.0010120952383177726,0.0010131614321160125,0.0010268964719072605,0.0010268964719072605,0.038123302709886175,AMZN,0.0010741100562204871
1998-01-02,0.0010135819987837017,0.0010003608451461413,0.0009997123865569503,0.0010091913609048906,0.0010091913609048906,0.011301785404749524,AMZN,0.0010623066939119997
1998-01-05,0.0009812648467470216,0.0009827591882437018,0.0009743086794378662,0.0009501742792038995,0.0009501742792038995,0.02988386202114752,AMZN,0.0010416506410230505
1998-01-06,0.0009283823076800459,0.0009651575313412623,0.0009623538810670781,0.0009752564747641642,0.0009752564747641642,0.035511642687929744,AMZN,0.0010859134185289745
1998-01-07,0.0009665753422199181,0.000953423138169631,0.0009698256642515123,0.0009590268347050842,0.0009590268347050842,0.021551973190038716,AMZN,0.001097716915916739
1998-01-08,0.0009283823076800459,0.0009167529748595538,0.0009235011283889317,0.0009118132503918576,0.0009118132503918576,0.05323857398740395,AMZN,0.001136077944728781
1998-01-09,0.0009195685511688833,0.0009064852969031358,0.000836829455849165,0.0008114841979922446,0.0008114841979922446,0.059282371294851796,AMZN,0.001136077944728781
1998-01-12,0.0007785484469902812,0.0008272778408421582,0.000812920132729121,0.0008232876953800091,0.0008232876953800091,0.0665857745420928,AMZN,0.001159684804425033
1998-01-13,0.0008284931120492865,0.0009064852969031358,0.0008637275469672892,0.0009206658058930423,0.0009206658058930423,0.06581152134974289,AMZN,0.0013219816102536626
1998-01-14,0.0009166306771609127,0.0009651575313412623,0.0009503992195070561,0.0009855845012086387,0.0009855845012086387,0.07721731091465882,AMZN,0.0014223105275739984
